Day ,Items ,Note ,Amount 
14,Rental Expense,Cash Payment - Rental - Miami,1120
14,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
14,Rental Expense,Cash Payment - Rental - San Francisco,2240
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
13,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
13,Salary Expense,Cash Payment - Salary Expense,23920
13,Interest Expense ,Cash Payment - Interest - For Overdraft,2729
13,Depreciation Expense,Non-Cash Expense - Depreciation,10000
13,Rental Expense,Cash Payment - Rental - Detroit,1200
13,Rental Expense,Cash Payment - Rental - Los Angeles,1080
13,Rental Expense,Cash Payment - Rental - Chicago,1600
13,Rental Expense,Cash Payment - Rental - New York,2680
13,Rental Expense,Cash Payment - Rental - Miami,1120
13,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
13,Rental Expense,Cash Payment - Rental - San Francisco,2240
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
12,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
12,Salary Expense,Cash Payment - Salary Expense,23704
12,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 793,11
12,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 1461,317
12,Interest Expense ,Cash Payment - Interest - For Overdraft,2729
12,Depreciation Expense,Non-Cash Expense - Depreciation,10000
12,Rental Expense,Cash Payment - Rental - Detroit,1200
12,Rental Expense,Cash Payment - Rental - Los Angeles,1080
12,Rental Expense,Cash Payment - Rental - Chicago,1600
12,Rental Expense,Cash Payment - Rental - New York,2680
12,Rental Expense,Cash Payment - Rental - Miami,1120
12,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
12,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,65
12,Rental Expense,Cash Payment - Rental - San Francisco,2240
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
11,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
11,Salary Expense,Cash Payment - Salary Expense,23380
11,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 1139,195
11,Interest Expense ,Cash Payment - Interest - For Overdraft,3756
11,Depreciation Expense,Non-Cash Expense - Depreciation,10000
11,Rental Expense,Cash Payment - Rental - Detroit,1200
11,Rental Expense,Cash Payment - Rental - Los Angeles,1080
11,Rental Expense,Cash Payment - Rental - Chicago,1600
11,Rental Expense,Cash Payment - Rental - New York,2680
11,Rental Expense,Cash Payment - Rental - Miami,1120
11,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
11,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,390
11,Rental Expense,Cash Payment - Rental - San Francisco,2240
10,Human Resource Expense,Staff Dismiss,7000
10,Human Resource Expense,Staff Dismiss,7000
10,Human Resource Expense,Attended Training,15000
10,Human Resource Expense,Staff Dismiss,8000
10,Human Resource Expense,Attended Training,15000
10,Human Resource Expense,Attended Training,15000
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
10,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
10,Salary Expense,Cash Payment - Salary Expense,22750
10,Interest Expense ,Cash Payment - Interest - For Overdraft,2697
10,Depreciation Expense,Non-Cash Expense - Depreciation,10000
10,Rental Expense,Cash Payment - Rental - Detroit,1200
10,Rental Expense,Cash Payment - Rental - Los Angeles,1080
10,Rental Expense,Cash Payment - Rental - Chicago,1600
10,Rental Expense,Cash Payment - Rental - New York,2680
10,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,165
10,Rental Expense,Cash Payment - Rental - Miami,1120
10,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
10,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,845
10,Rental Expense,Cash Payment - Rental - San Francisco,2240
9,Human Resource Expense,Attended Training,15000
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
9,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
9,Salary Expense,Cash Payment - Salary Expense,23800
9,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 810,12
9,Interest Expense ,Cash Payment - Interest - For Overdraft,3724
9,Depreciation Expense,Non-Cash Expense - Depreciation,10000
9,Rental Expense,Cash Payment - Rental - Detroit,1200
9,Rental Expense,Cash Payment - Rental - Los Angeles,1080
9,Rental Expense,Cash Payment - Rental - Chicago,1600
9,Rental Expense,Cash Payment - Rental - New York,2680
9,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,363
9,Rental Expense,Cash Payment - Rental - Miami,1120
9,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
9,Overflow Expense - Retail,Cash Payment - Overflow Fee  - San Francisco,1105
9,Rental Expense,Cash Payment - Rental - San Francisco,2240
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
8,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
8,Salary Expense,Cash Payment - Salary Expense,23800
8,Interest Expense ,Cash Payment - Interest - For Overdraft,1027
8,Depreciation Expense,Non-Cash Expense - Depreciation,10000
8,Rental Expense,Cash Payment - Rental - Detroit,1200
8,Rental Expense,Cash Payment - Rental - Los Angeles,1080
8,Rental Expense,Cash Payment - Rental - Chicago,1600
8,Rental Expense,Cash Payment - Rental - New York,2680
8,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,462
8,Rental Expense,Cash Payment - Rental - Miami,1120
8,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
8,Rental Expense,Cash Payment - Rental - San Francisco,2240
7,Human Resource Expense,Counselled,2000
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
7,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
7,Salary Expense,Cash Payment - Salary Expense,23800
7,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 507,266
7,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
7,Depreciation Expense,Non-Cash Expense - Depreciation,10000
7,Rental Expense,Cash Payment - Rental - Detroit,1200
7,Rental Expense,Cash Payment - Rental - Los Angeles,1080
7,Rental Expense,Cash Payment - Rental - Chicago,1600
7,Rental Expense,Cash Payment - Rental - New York,2680
7,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,462
7,Rental Expense,Cash Payment - Rental - Miami,1120
7,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
7,Rental Expense,Cash Payment - Rental - San Francisco,2240
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Sparkling Wine",500
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - Red Wine",500
6,Marketing Expense,"Cash Payment - Marketing - Washington, D.C. - White Wine",500
6,Salary Expense,Cash Payment - Salary Expense,23800
6,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
6,Depreciation Expense,Non-Cash Expense - Depreciation,10000
6,Rental Expense,Cash Payment - Rental - Detroit,1200
6,Rental Expense,Cash Payment - Rental - Los Angeles,1080
6,Rental Expense,Cash Payment - Rental - Chicago,1600
6,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,75
6,Rental Expense,Cash Payment - Rental - New York,2680
6,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,561
6,Rental Expense,Cash Payment - Rental - Miami,1120
6,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
6,Rental Expense,Cash Payment - Rental - San Francisco,2240
5,Human Resource Expense,Attended Training,15000
5,Salary Expense,Cash Payment - Salary Expense,23800
5,Interest Expense ,Cash Payment - Interest - For Overdraft,4110
5,Depreciation Expense,Non-Cash Expense - Depreciation,10000
5,Rental Expense,Cash Payment - Rental - Detroit,1200
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,30
5,Rental Expense,Cash Payment - Rental - Los Angeles,1080
5,Rental Expense,Cash Payment - Rental - Chicago,1600
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,375
5,Rental Expense,Cash Payment - Rental - New York,2680
5,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Miami,561
5,Rental Expense,Cash Payment - Rental - Miami,1120
5,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
5,Rental Expense,Cash Payment - Rental - San Francisco,2240
4,Human Resource Expense,Counselled,2000
4,Human Resource Expense,Counselled,2000
4,Human Resource Expense,Counselled,2000
4,Salary Expense,Cash Payment - Salary Expense,23800
4,Interest Expense ,Cash Payment - Interest - For Overdraft,3082
4,Depreciation Expense,Non-Cash Expense - Depreciation,10000
4,Rental Expense,Cash Payment - Rental - Detroit,1200
4,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,210
4,Rental Expense,Cash Payment - Rental - Los Angeles,1080
4,Rental Expense,Cash Payment - Rental - Chicago,1600
4,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,675
4,Rental Expense,Cash Payment - Rental - New York,2680
4,Rental Expense,Cash Payment - Rental - Miami,1120
4,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
4,Rental Expense,Cash Payment - Rental - San Francisco,2240
3,Human Resource Expense,"Cash Payment - Staff Recruiting - Washington, D.C.",60000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,30000
3,Human Resource Expense,Cash Payment - Staff Recruiting - San Francisco,60000
3,Human Resource Expense,Cash Payment - Staff Recruiting - Production,30000
3,Salary Expense,Cash Payment - Salary Expense,23800
3,Interest Expense ,Cash Payment - Interest - For Overdraft,2055
3,Depreciation Expense,Non-Cash Expense - Depreciation,10000
3,Rental Expense,Cash Payment - Rental - Detroit,1200
3,Overflow Expense - Retail,Cash Payment - Overflow Fee  - Los Angeles,390
3,Rental Expense,Cash Payment - Rental - Los Angeles,1080
3,Rental Expense,Cash Payment - Rental - Chicago,1600
3,Overflow Expense - Retail,Cash Payment - Overflow Fee  - New York,1050
3,Rental Expense,Cash Payment - Rental - New York,2680
3,Rental Expense,Cash Payment - Rental - Miami,1120
3,Rental Expense,"Cash Payment - Rental - Washington, D.C.",2440
3,Rental Expense,Cash Payment - Rental - San Francisco,2240
2,Human Resource Expense,Cash Payment - Staff Recruiting - Detroit,60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Los Angeles,60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Chicago,60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - New York,60000
2,Human Resource Expense,Cash Payment - Staff Recruiting - Miami,60000
2,Salary Expense,Cash Payment - Salary Expense,19600
2,Rental Expense,Cash Payment - Rental - Detroit,1200
2,Rental Expense,Cash Payment - Rental - Los Angeles,1080
2,Rental Expense,Cash Payment - Rental - Chicago,1600
2,Rental Expense,Cash Payment - Rental - New York,2680
2,Rental Expense,Cash Payment - Rental - Miami,1120
1,Salary Expense,Cash Payment - Salary Expense,12600
